# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (576, 2)

[centers]
idx	x_H_axis	y_W_axis
0	37.000000	126.000000
1	46.955448	127.656799
2	56.920799	132.323196
3	66.896049	139.999207
4	76.881203	150.684799
5	86.876251	164.380005
6	96.881203	181.084793
7	106.896049	200.799194
8	116.920799	223.523193
9	126.955452	249.256805
10	137.000000	278.000000
11	146.855453	249.256805
12	156.720795	223.523193
13	166.596054	200.799194
14	176.481201	181.084793
15	186.376251	164.380005
16	196.281204	150.684799
17	206.196045	139.999207
18	216.120804	132.323196
19	226.055450	127.656799
20	236.000000	126.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	37.000000	126.000000	0	0.00000000
1	37.000000	126.000000	0	0.00000000
2	37.000000	126.000000	0	0.00000000
3	37.000000	126.000000	0	0.00000000
4	37.000000	126.000000	0	0.00000000
5	37.000000	126.000000	0	0.00000000
6	37.000000	126.000000	0	0.00000000
7	37.000000	126.000000	0	0.00000000
8	37.000000	126.000000	0	0.00000000
9	37.000000	126.000000	0	0.00000000
10	37.000000	126.000000	0	0.00000000
11	37.000000	126.000000	0	0.00000000
12	37.000000	126.000000	0	0.00000000
13	37.000000	126.000000	0	0.00000000
14	37.000000	126.000000	0	0.00000000
15	37.000000	126.000000	0	0.00000000
16	37.000000	126.000000	0	0.00000000
17	37.000000	126.000000	0	0.00000000
18	37.000000	126.000000	0	0.00000000
19	37.000000	126.000000	0	0.00000000
20	37.000000	126.000000	0	0.00000000
21	37.000000	126.000000	0	0.00000000
22	37.000000	126.000000	0	0.00000000
23	37.000000	126.000000	0	0.00000000
24	37.000000	126.000000	0	0.00000000
25	37.000000	126.000000	0	0.00000000
26	37.000000	126.000000	0	0.00000000
27	37.000000	126.000000	0	0.00000000
28	37.000000	126.000000	0	0.00000000
29	37.000000	126.000000	0	0.00000000
30	37.000000	126.000000	0	0.00000000
31	37.000000	126.000000	0	0.00000000
32	37.000000	126.000000	0	0.00000000
33	37.000000	126.000000	0	0.00000000
34	37.000000	126.000000	0	0.00000000
35	37.000000	126.000000	0	0.00000000
36	37.000000	126.000000	0	0.00000000
37	37.000000	126.000000	0	0.00000000
38	37.000000	126.000000	0	0.00000000
39	37.000000	126.000000	0	0.00000000
40	37.000000	126.000000	0	0.00000000
41	37.000000	126.000000	0	0.00000000
42	37.000000	126.000000	0	0.00000000
43	37.000000	126.000000	0	0.00000000
44	37.000000	126.000000	0	0.00000000
45	37.000000	126.000000	0	0.00000000
46	37.000000	126.000000	0	0.00000000
47	37.000000	126.000000	0	0.00000000
48	37.000000	126.000000	0	0.00000000
49	37.000000	126.000000	0	0.00000000
50	37.000000	126.000000	0	0.00000000
51	37.000000	126.000000	0	0.00000000
52	37.000000	126.000000	0	0.00000000
53	37.000000	126.000000	0	0.00000000
54	46.955448	127.656799	1	0.00000000
55	46.955448	127.656799	1	0.00000000
56	46.955448	127.656799	1	0.00000000
57	46.955448	127.656799	1	0.00000000
58	46.955448	127.656799	1	0.00000000
59	46.955448	127.656799	1	0.00000000
60	46.955448	127.656799	1	0.00000000
61	46.955448	127.656799	1	0.00000000
62	46.955448	127.656799	1	0.00000000
63	46.955448	127.656799	1	0.00000000
64	46.955448	127.656799	1	0.00000000
65	46.955448	127.656799	1	0.00000000
66	46.955448	127.656799	1	0.00000000
67	46.955448	127.656799	1	0.00000000
68	46.955448	127.656799	1	0.00000000
