# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (311, 2)

[centers]
idx	x_H_axis	y_W_axis
0	63.000000	66.000000
1	72.955452	67.656799
2	82.920799	72.323196
3	92.896049	79.999199
4	102.881203	90.684799
5	112.876251	104.379997
6	122.881203	121.084801
7	132.896057	140.799194
8	142.920807	163.523193
9	152.955444	189.256805
10	163.000000	218.000000
11	172.855453	189.256805
12	182.720795	163.523193
13	192.596054	140.799194
14	202.481201	121.084801
15	212.376251	104.379997
16	222.281204	90.684799
17	232.196045	79.999199
18	242.120804	72.323196
19	252.055450	67.656799
20	262.000000	66.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	63.000000	66.000000	0	0.00000000
1	63.000000	66.000000	0	0.00000000
2	63.000000	66.000000	0	0.00000000
3	63.000000	66.000000	0	0.00000000
4	63.000000	66.000000	0	0.00000000
5	63.000000	66.000000	0	0.00000000
6	63.000000	66.000000	0	0.00000000
7	63.000000	66.000000	0	0.00000000
8	63.000000	66.000000	0	0.00000000
9	63.000000	66.000000	0	0.00000000
10	63.000000	66.000000	0	0.00000000
11	63.000000	66.000000	0	0.00000000
12	63.000000	66.000000	0	0.00000000
13	63.000000	66.000000	0	0.00000000
14	63.000000	66.000000	0	0.00000000
15	63.000000	66.000000	0	0.00000000
16	63.000000	66.000000	0	0.00000000
17	63.000000	66.000000	0	0.00000000
18	63.000000	66.000000	0	0.00000000
19	63.000000	66.000000	0	0.00000000
20	63.000000	66.000000	0	0.00000000
21	63.000000	66.000000	0	0.00000000
22	63.000000	66.000000	0	0.00000000
23	63.000000	66.000000	0	0.00000000
24	63.000000	66.000000	0	0.00000000
25	63.000000	66.000000	0	0.00000000
26	63.000000	66.000000	0	0.00000000
27	63.000000	66.000000	0	0.00000000
28	63.000000	66.000000	0	0.00000000
29	63.000000	66.000000	0	0.00000000
30	63.000000	66.000000	0	0.00000000
31	63.000000	66.000000	0	0.00000000
32	63.000000	66.000000	0	0.00000000
33	72.955452	67.656799	1	0.00000000
34	72.955452	67.656799	1	0.00000000
35	72.955452	67.656799	1	0.00000000
36	72.955452	67.656799	1	0.00000000
37	72.955452	67.656799	1	0.00000000
38	72.955452	67.656799	1	0.00000000
39	72.955452	67.656799	1	0.00000000
40	72.955452	67.656799	1	0.00000000
41	72.955452	67.656799	1	0.00000000
42	72.955452	67.656799	1	0.00000000
43	72.955452	67.656799	1	0.00000000
44	72.955452	67.656799	1	0.00000000
45	72.955452	67.656799	1	0.00000000
46	72.955452	67.656799	1	0.00000000
47	72.955452	67.656799	1	0.00000000
48	72.955452	67.656799	1	0.00000000
49	72.955452	67.656799	1	0.00000000
50	72.955452	67.656799	1	0.00000000
51	72.955452	67.656799	1	0.00000000
52	72.955452	67.656799	1	0.00000000
53	72.955452	67.656799	1	0.00000000
54	72.955452	67.656799	1	0.00000000
55	72.955452	67.656799	1	0.00000000
56	72.955452	67.656799	1	0.00000000
57	72.955452	67.656799	1	0.00000000
58	72.955452	67.656799	1	0.00000000
59	72.955452	67.656799	1	0.00000000
60	72.955452	67.656799	1	0.00000000
61	72.955452	67.656799	1	0.00000000
62	72.955452	67.656799	1	0.00000000
63	72.955452	67.656799	1	0.00000000
64	72.955452	67.656799	1	0.00000000
65	72.955452	67.656799	1	0.00000000
66	82.920799	72.323196	2	0.00000000
67	82.920799	72.323196	2	0.00000000
68	82.920799	72.323196	2	0.00000000
69	82.920799	72.323196	2	0.00000000
70	82.920799	72.323196	2	0.00000000
71	82.920799	72.323196	2	0.00000000
72	82.920799	72.323196	2	0.00000000
73	82.920799	72.323196	2	0.00000000
74	82.920799	72.323196	2	0.00000000
75	82.920799	72.323196	2	0.00000000
76	82.920799	72.323196	2	0.00000000
77	82.920799	72.323196	2	0.00000000
78	82.920799	72.323196	2	0.00000000
79	82.920799	72.323196	2	0.00000000
80	82.920799	72.323196	2	0.00000000
81	82.920799	72.323196	2	0.00000000
82	82.920799	72.323196	2	0.00000000
83	82.920799	72.323196	2	0.00000000
84	82.920799	72.323196	2	0.00000000
85	82.920799	72.323196	2	0.00000000
86	82.920799	72.323196	2	0.00000000
87	82.920799	72.323196	2	0.00000000
88	92.896049	79.999199	3	0.00000000
89	92.896049	79.999199	3	0.00000000
90	92.896049	79.999199	3	0.00000000
91	92.896049	79.999199	3	0.00000000
92	92.896049	79.999199	3	0.00000000
93	92.896049	79.999199	3	0.00000000
94	92.896049	79.999199	3	0.00000000
95	92.896049	79.999199	3	0.00000000
96	92.896049	79.999199	3	0.00000000
97	92.896049	79.999199	3	0.00000000
98	92.896049	79.999199	3	0.00000000
99	92.896049	79.999199	3	0.00000000
100	92.896049	79.999199	3	0.00000000
101	92.896049	79.999199	3	0.00000000
102	92.896049	79.999199	3	0.00000000
103	92.896049	79.999199	3	0.00000000
104	92.896049	79.999199	3	0.00000000
105	102.881203	90.684799	4	0.00000000
106	102.881203	90.684799	4	0.00000000
107	102.881203	90.684799	4	0.00000000
108	102.881203	90.684799	4	0.00000000
109	102.881203	90.684799	4	0.00000000
110	102.881203	90.684799	4	0.00000000
111	102.881203	90.684799	4	0.00000000
112	102.881203	90.684799	4	0.00000000
113	102.881203	90.684799	4	0.00000000
114	102.881203	90.684799	4	0.00000000
115	102.881203	90.684799	4	0.00000000
116	102.881203	90.684799	4	0.00000000
117	102.881203	90.684799	4	0.00000000
118	112.876251	104.379997	5	0.00000000
119	112.876251	104.379997	5	0.00000000
120	112.876251	104.379997	5	0.00000000
121	112.876251	104.379997	5	0.00000000
122	112.876251	104.379997	5	0.00000000
123	112.876251	104.379997	5	0.00000000
124	112.876251	104.379997	5	0.00000000
125	112.876251	104.379997	5	0.00000000
126	112.876251	104.379997	5	0.00000000
127	112.876251	104.379997	5	0.00000000
128	122.881203	121.084801	6	0.00000000
129	122.881203	121.084801	6	0.00000000
130	122.881203	121.084801	6	0.00000000
131	122.881203	121.084801	6	0.00000000
132	122.881203	121.084801	6	0.00000000
133	122.881203	121.084801	6	0.00000000
134	122.881203	121.084801	6	0.00000000
135	122.881203	121.084801	6	0.00000000
136	132.896057	140.799194	7	0.00000000
137	132.896057	140.799194	7	0.00000000
138	132.896057	140.799194	7	0.00000000
139	132.896057	140.799194	7	0.00000000
140	142.920807	163.523193	8	0.00000000
141	142.920807	163.523193	8	0.00000000
142	142.920807	163.523193	8	0.00000000
143	152.955444	189.256805	9	0.00000000
144	152.955444	189.256805	9	0.00000000
145	152.955444	189.256805	9	0.00000000
146	163.000000	218.000000	10	0.00000000
147	163.000000	218.000000	10	0.00000000
148	163.000000	218.000000	10	0.00000000
149	163.000000	218.000000	10	0.00000000
150	163.000000	218.000000	10	0.00000000
151	163.000000	218.000000	10	0.00000000
152	163.000000	218.000000	10	0.00000000
153	163.000000	218.000000	10	0.00000000
154	163.000000	218.000000	10	0.00000000
155	163.000000	218.000000	10	0.00000000
156	163.000000	218.000000	10	0.00000000
157	172.855453	189.256805	11	0.00000000
158	172.855453	189.256805	11	0.00000000
159	172.855453	189.256805	11	0.00000000
160	182.720795	163.523193	12	0.00000000
161	182.720795	163.523193	12	0.00000000
162	182.720795	163.523193	12	0.00000000
163	192.596054	140.799194	13	0.00000000
164	192.596054	140.799194	13	0.00000000
165	192.596054	140.799194	13	0.00000000
166	192.596054	140.799194	13	0.00000000
167	192.596054	140.799194	13	0.00000000
168	192.596054	140.799194	13	0.00000000
169	192.596054	140.799194	13	0.00000000
170	202.481201	121.084801	14	0.00000000
171	202.481201	121.084801	14	0.00000000
172	202.481201	121.084801	14	0.00000000
173	202.481201	121.084801	14	0.00000000
174	202.481201	121.084801	14	0.00000000
175	202.481201	121.084801	14	0.00000000
176	202.481201	121.084801	14	0.00000000
177	202.481201	121.084801	14	0.00000000
178	212.376251	104.379997	15	0.00000000
179	212.376251	104.379997	15	0.00000000
180	212.376251	104.379997	15	0.00000000
181	212.376251	104.379997	15	0.00000000
182	212.376251	104.379997	15	0.00000000
183	212.376251	104.379997	15	0.00000000
184	212.376251	104.379997	15	0.00000000
185	212.376251	104.379997	15	0.00000000
186	212.376251	104.379997	15	0.00000000
187	212.376251	104.379997	15	0.00000000
188	222.281204	90.684799	16	0.00000000
189	222.281204	90.684799	16	0.00000000
190	222.281204	90.684799	16	0.00000000
191	222.281204	90.684799	16	0.00000000
192	222.281204	90.684799	16	0.00000000
193	222.281204	90.684799	16	0.00000000
194	222.281204	90.684799	16	0.00000000
195	222.281204	90.684799	16	0.00000000
196	222.281204	90.684799	16	0.00000000
197	222.281204	90.684799	16	0.00000000
198	222.281204	90.684799	16	0.00000000
199	222.281204	90.684799	16	0.00000000
200	222.281204	90.684799	16	0.00000000
201	232.196045	79.999199	17	0.00000000
202	232.196045	79.999199	17	0.00000000
203	232.196045	79.999199	17	0.00000000
204	232.196045	79.999199	17	0.00000000
205	232.196045	79.999199	17	0.00000000
206	232.196045	79.999199	17	0.00000000
