subject_code,target_i,target_j,template_i,template_j,di,dj,C0_x,C0_y,Cmid_x,Cmid_y,C20_x,C20_y,ray_count,shifted_curve,geometry_npz,debug_png,centers_txt
45,163,216,166,266,-3,-50,64,63,216,163,64,262,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_45.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/45/rotation_geometry_45.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/45/rotation_debug_45.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/45/rotation_centers_45.txt
46,164,274,166,266,-2,8,122,64,274,164,122,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_46.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/46/rotation_geometry_46.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/46/rotation_debug_46.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/46/rotation_centers_46.txt
47,164,268,166,266,-2,2,116,64,268,164,116,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_47.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/47/rotation_geometry_47.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/47/rotation_debug_47.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/47/rotation_centers_47.txt
54,165,222,166,266,-1,-44,70,65,222,165,70,264,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_54.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/54/rotation_geometry_54.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/54/rotation_debug_54.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/54/rotation_centers_54.txt
55,167,234,166,266,1,-32,82,67,234,167,82,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_55.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/55/rotation_geometry_55.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/55/rotation_debug_55.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/55/rotation_centers_55.txt
57,168,225,166,266,2,-41,73,68,225,168,73,267,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_57.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/57/rotation_geometry_57.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/57/rotation_debug_57.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/57/rotation_centers_57.txt
58,160,220,166,266,-6,-46,68,60,220,160,68,259,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_58.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/58/rotation_geometry_58.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/58/rotation_debug_58.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/58/rotation_centers_58.txt
59,164,235,166,266,-2,-31,83,64,235,164,83,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_59.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/59/rotation_geometry_59.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/59/rotation_debug_59.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/59/rotation_centers_59.txt
60,162,232,166,266,-4,-34,80,62,232,162,80,261,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_60.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/60/rotation_geometry_60.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/60/rotation_debug_60.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/60/rotation_centers_60.txt
61,167,199,166,266,1,-67,47,67,199,167,47,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_61.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/61/rotation_geometry_61.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/61/rotation_debug_61.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/61/rotation_centers_61.txt
