# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (311, 2)

[centers]
idx	x_H_axis	y_W_axis
0	38.000000	73.000000
1	47.955448	74.656799
2	57.920799	79.323196
3	67.896049	86.999199
4	77.881203	97.684799
5	87.876251	111.379997
6	97.881203	128.084793
7	107.896049	147.799194
8	117.920799	170.523193
9	127.955452	196.256805
10	138.000000	225.000000
11	147.855453	196.256805
12	157.720795	170.523193
13	167.596054	147.799194
14	177.481201	128.084793
15	187.376251	111.379997
16	197.281204	97.684799
17	207.196045	86.999199
18	217.120804	79.323196
19	227.055450	74.656799
20	237.000000	73.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	38.000000	73.000000	0	0.00000000
1	38.000000	73.000000	0	0.00000000
2	38.000000	73.000000	0	0.00000000
3	38.000000	73.000000	0	0.00000000
4	38.000000	73.000000	0	0.00000000
5	38.000000	73.000000	0	0.00000000
6	38.000000	73.000000	0	0.00000000
7	38.000000	73.000000	0	0.00000000
8	38.000000	73.000000	0	0.00000000
9	38.000000	73.000000	0	0.00000000
10	38.000000	73.000000	0	0.00000000
11	38.000000	73.000000	0	0.00000000
12	38.000000	73.000000	0	0.00000000
13	38.000000	73.000000	0	0.00000000
14	38.000000	73.000000	0	0.00000000
15	38.000000	73.000000	0	0.00000000
16	38.000000	73.000000	0	0.00000000
17	38.000000	73.000000	0	0.00000000
18	38.000000	73.000000	0	0.00000000
19	38.000000	73.000000	0	0.00000000
20	38.000000	73.000000	0	0.00000000
21	38.000000	73.000000	0	0.00000000
22	38.000000	73.000000	0	0.00000000
23	38.000000	73.000000	0	0.00000000
24	38.000000	73.000000	0	0.00000000
25	38.000000	73.000000	0	0.00000000
26	38.000000	73.000000	0	0.00000000
27	38.000000	73.000000	0	0.00000000
28	38.000000	73.000000	0	0.00000000
29	38.000000	73.000000	0	0.00000000
30	38.000000	73.000000	0	0.00000000
31	38.000000	73.000000	0	0.00000000
32	38.000000	73.000000	0	0.00000000
33	47.955448	74.656799	1	0.00000000
34	47.955448	74.656799	1	0.00000000
35	47.955448	74.656799	1	0.00000000
36	47.955448	74.656799	1	0.00000000
37	47.955448	74.656799	1	0.00000000
38	47.955448	74.656799	1	0.00000000
39	47.955448	74.656799	1	0.00000000
40	47.955448	74.656799	1	0.00000000
41	47.955448	74.656799	1	0.00000000
42	47.955448	74.656799	1	0.00000000
43	47.955448	74.656799	1	0.00000000
44	47.955448	74.656799	1	0.00000000
45	47.955448	74.656799	1	0.00000000
46	47.955448	74.656799	1	0.00000000
47	47.955448	74.656799	1	0.00000000
48	47.955448	74.656799	1	0.00000000
49	47.955448	74.656799	1	0.00000000
50	47.955448	74.656799	1	0.00000000
51	47.955448	74.656799	1	0.00000000
