# coordinate_system: voxel_xy_after_load_rotation_geometry_for_volume
# x = volume H-axis coordinate, y = volume W-axis coordinate
centers_shape: (21, 2)
ray_origins_shape: (576, 2)

[centers]
idx	x_H_axis	y_W_axis
0	49.000000	82.000000
1	58.955448	83.656799
2	68.920799	88.323196
3	78.896049	95.999199
4	88.881203	106.684799
5	98.876251	120.379997
6	108.881203	137.084793
7	118.896049	156.799194
8	128.920807	179.523193
9	138.955444	205.256805
10	149.000000	234.000000
11	158.855453	205.256805
12	168.720795	179.523193
13	178.596054	156.799194
14	188.481201	137.084793
15	198.376251	120.379997
16	208.281204	106.684799
17	218.196045	95.999199
18	228.120804	88.323196
19	238.055450	83.656799
20	248.000000	82.000000

[ray_origins]
idx	x_H_axis	y_W_axis	nearest_center_id	nearest_center_dist
0	49.000000	82.000000	0	0.00000000
1	49.000000	82.000000	0	0.00000000
2	49.000000	82.000000	0	0.00000000
3	49.000000	82.000000	0	0.00000000
4	49.000000	82.000000	0	0.00000000
5	49.000000	82.000000	0	0.00000000
6	49.000000	82.000000	0	0.00000000
7	49.000000	82.000000	0	0.00000000
8	49.000000	82.000000	0	0.00000000
9	49.000000	82.000000	0	0.00000000
10	49.000000	82.000000	0	0.00000000
11	49.000000	82.000000	0	0.00000000
12	49.000000	82.000000	0	0.00000000
13	49.000000	82.000000	0	0.00000000
14	49.000000	82.000000	0	0.00000000
15	49.000000	82.000000	0	0.00000000
16	49.000000	82.000000	0	0.00000000
17	49.000000	82.000000	0	0.00000000
18	49.000000	82.000000	0	0.00000000
19	49.000000	82.000000	0	0.00000000
20	49.000000	82.000000	0	0.00000000
21	49.000000	82.000000	0	0.00000000
22	49.000000	82.000000	0	0.00000000
23	49.000000	82.000000	0	0.00000000
24	49.000000	82.000000	0	0.00000000
25	49.000000	82.000000	0	0.00000000
26	49.000000	82.000000	0	0.00000000
27	49.000000	82.000000	0	0.00000000
28	49.000000	82.000000	0	0.00000000
29	49.000000	82.000000	0	0.00000000
30	49.000000	82.000000	0	0.00000000
31	49.000000	82.000000	0	0.00000000
32	49.000000	82.000000	0	0.00000000
33	49.000000	82.000000	0	0.00000000
34	49.000000	82.000000	0	0.00000000
35	49.000000	82.000000	0	0.00000000
36	49.000000	82.000000	0	0.00000000
37	49.000000	82.000000	0	0.00000000
38	49.000000	82.000000	0	0.00000000
39	49.000000	82.000000	0	0.00000000
40	49.000000	82.000000	0	0.00000000
41	49.000000	82.000000	0	0.00000000
42	49.000000	82.000000	0	0.00000000
43	49.000000	82.000000	0	0.00000000
44	49.000000	82.000000	0	0.00000000
45	49.000000	82.000000	0	0.00000000
46	49.000000	82.000000	0	0.00000000
47	49.000000	82.000000	0	0.00000000
48	49.000000	82.000000	0	0.00000000
49	49.000000	82.000000	0	0.00000000
50	49.000000	82.000000	0	0.00000000
51	49.000000	82.000000	0	0.00000000
52	49.000000	82.000000	0	0.00000000
53	49.000000	82.000000	0	0.00000000
54	58.955448	83.656799	1	0.00000000
55	58.955448	83.656799	1	0.00000000
56	58.955448	83.656799	1	0.00000000
57	58.955448	83.656799	1	0.00000000
58	58.955448	83.656799	1	0.00000000
59	58.955448	83.656799	1	0.00000000
60	58.955448	83.656799	1	0.00000000
61	58.955448	83.656799	1	0.00000000
62	58.955448	83.656799	1	0.00000000
63	58.955448	83.656799	1	0.00000000
64	58.955448	83.656799	1	0.00000000
65	58.955448	83.656799	1	0.00000000
66	58.955448	83.656799	1	0.00000000
67	58.955448	83.656799	1	0.00000000
68	58.955448	83.656799	1	0.00000000
69	58.955448	83.656799	1	0.00000000
70	58.955448	83.656799	1	0.00000000
71	58.955448	83.656799	1	0.00000000
72	58.955448	83.656799	1	0.00000000
73	58.955448	83.656799	1	0.00000000
74	58.955448	83.656799	1	0.00000000
75	58.955448	83.656799	1	0.00000000
76	58.955448	83.656799	1	0.00000000
77	58.955448	83.656799	1	0.00000000
78	58.955448	83.656799	1	0.00000000
